sep=,
"","Datei","Entscheidung","URL"
"1","das_grundlegende_demokratiedefizit_bei_kammern_mit_zwangsmitgliedschaft.pdf","Include","https://www.pflegekammer-stoppen.de/files/das_grundlegende_demokratiedefizit_bei_kammern_mit_zwangsmitgliedschaft.pdf"
"2","warum_ein_nein_zur_pflegekammer.pdf","Include","https://www.pflegekammer-stoppen.de/files/warum_ein_nein_zur_pflegekammer.pdf"
"3","berufsaufsicht-pflegekammer-stoppen.de.pdf","Exclude","https://www.pflegekammer-stoppen.de/files/berufsaufsicht-pflegekammer-stoppen.de.pdf"
"4","das-gleiche-pflegekammer-stoppen.de.pdf","Exclude","https://www.pflegekammer-stoppen.de/files/das-gleiche-pflegekammer-stoppen.de.pdf"
"5","gewalt-gege-pflegekraefte-pflegekammer-stoppen.de.pdf","Exclude","https://www.pflegekammer-stoppen.de/files/gewalt-gege-pflegekraefte-pflegekammer-stoppen.de.pdf"
"6","kohle_her_pflegekammer-stoppen.de.pdf","Exclude","https://www.pflegekammer-stoppen.de/files/kohle_her_pflegekammer-stoppen.de.pdf"
"7","spdfa-poster-pflegekammer-stoppen.de.pdf","Exclude","https://www.pflegekammer-stoppen.de/files/spdfa-poster-pflegekammer-stoppen.de.pdf"
"8","BeKD-PM_Eckpunktepaier_ABPruefverord._03.2016.Emailversdt.pdf","Exclude","https://bekd.de/wp-content/uploads/2019/08/BeKD-PM_Eckpunktepaier_ABPruefverord._03.2016.Emailversdt.pdf"
"9","BeKD_Stellungnahme_zur_PflAPrV_0418Endfs_versdt.pdf","Exclude","https://bekd.de/wp-content/uploads/2019/08/BeKD_Stellungnahme_zur_PflAPrV_0418Endfs_versdt.pdf"
"10","Stellungn_PflBeG_01.2016_Homep.pdf","Exclude","https://bekd.de/wp-content/uploads/2019/08/Stellungn_PflBeG_01.2016_Homep.pdf"
"11","Stellungn_PflBeG_300516_Anhoerg._AfG_versdt.pdf","Exclude","https://bekd.de/wp-content/uploads/2019/08/Stellungn_PflBeG_300516_Anhoerg._AfG_versdt.pdf"
"12","Stellungnahme-Schulbesuch-knw_20200526.pdf","Exclude","https://bekd.de/wp-content/uploads/2020/05/Stellungnahme-Schulbesuch-knw_20200526.pdf"
"13","ADS-DBfK-position_weiterentwicklung_pflegestudiengaenge_2015.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/ADS-DBfK-position_weiterentwicklung_pflegestudiengaenge_2015.pdf"
"14","DBfK-OeGKV-SBK_zu_ICNP_2011.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/DBfK-OeGKV-SBK_zu_ICNP_2011.pdf"
"15","DBfK-Positionspapier-BAG-Pflege-im-Funktionsdienst-Fachpflegequote-Funktionsdienst_Intensivpflege.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/DBfK-Positionspapier-BAG-Pflege-im-Funktionsdienst-Fachpflegequote-Funktionsdienst_Intensivpflege.pdf"
"16","DBfK_Junge-Pflege-Positionspapier_Pflegeausbildung-2019.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/DBfK_Junge-Pflege-Positionspapier_Pflegeausbildung-2019.pdf"
"17","Position-BAG-Pflegeunternehmer-zu-Pflegekammern-2015-11-19.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-BAG-Pflegeunternehmer-zu-Pflegekammern-2015-11-19.pdf"
"18","Position-BSN-Einsatz-in-Praxis_2016-07-26final.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-BSN-Einsatz-in-Praxis_2016-07-26final.pdf"
"19","Position-DBfK-zu-Physician-Assistants-2017.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-DBfK-zu-Physician-Assistants-2017.pdf"
"20","Position-freiberufliche-Pflege_2012-08-09-final.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-freiberufliche-Pflege_2012-08-09-final.pdf"
"21","Position-zu-Delegation-im-Krankenhaus_2010-03-29.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-zu-Delegation-im-Krankenhaus_2010-03-29.pdf"
"22","Position-zu-Psychiatrische-Pflege-2015-03-18.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-zu-Psychiatrische-Pflege-2015-03-18.pdf"
"23","Positionspapier-BAG-Pflege-im-Funktionsdienst-Anerkennung-der-Fachweiterbildungen.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-BAG-Pflege-im-Funktionsdienst-Anerkennung-der-Fachweiterbildungen.pdf"
"24","Positionspapier-Betreuungskraefte-nach-43b-SGB-V.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Betreuungskraefte-nach-43b-SGB-V.pdf"
"25","Positionspapier-DBfK_Refinanzierung-der-primaerqualifizierenden-hochschulischen-Pflegeausbildung_2020-03.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-DBfK_Refinanzierung-der-primaerqualifizierenden-hochschulischen-Pflegeausbildung_2020-03.pdf"
"26","Positionspapier-Einfuehrung-neuer-PBB_2016-12-01.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Einfuehrung-neuer-PBB_2016-12-01.pdf"
"27","Positionspapier-Erhalt-der-aktuell-geltenden-Pflegefachkraftquote-im-SGB-XI-Bereich.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Erhalt-der-aktuell-geltenden-Pflegefachkraftquote-im-SGB-XI-Bereich.pdf"
"28","Positionspapier-Errichtung-einer-Bundespflegeberufekammer.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Errichtung-einer-Bundespflegeberufekammer.pdf"
"29","Positionspapier-Hygienestandards-2015-09-11.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Hygienestandards-2015-09-11.pdf"
"30","Positionspapier-Schaffung-neuer-medizinischer-Assistenzberufe-im-Krankenhaus.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Schaffung-neuer-medizinischer-Assistenzberufe-im-Krankenhaus.pdf"
"31","Positionspapier-Schulgesundheitspflege.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Schulgesundheitspflege.pdf"
"32","Resolution-des-DBfK-zu-SDGs-2017-05-012.pdf","Include","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Resolution-des-DBfK-zu-SDGs-2017-05-012.pdf"
"33","ANP-DBfK-OeGKV-SBK_2013.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/ANP-DBfK-OeGKV-SBK_2013.pdf"
"34","Impulspapier-Arbeitnehmerueberlassung-in-der-Pflege-2019-09.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Impulspapier-Arbeitnehmerueberlassung-in-der-Pflege-2019-09.pdf"
"35","Position-DBfK-gegen-Rassismus-2017-04-28.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-DBfK-gegen-Rassismus-2017-04-28.pdf"
"36","Position-Organspende-Organtranspl-2014-02-08-final.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-Organspende-Organtranspl-2014-02-08-final.pdf"
"37","Position-Rente-67-2010-12-01.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-Rente-67-2010-12-01.pdf"
"38","Position-betriebl-Gesundheitspflege-2014-10.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-betriebl-Gesundheitspflege-2014-10.pdf"
"39","Position-des-DBfK_Ausbildungsqualitaet-sicherstellen-Lernende-schuetzen_2020-04-02.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-des-DBfK_Ausbildungsqualitaet-sicherstellen-Lernende-schuetzen_2020-04-02.pdf"
"40","Position-illegale-Beschaeftigung-2006-10-16.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-illegale-Beschaeftigung-2006-10-16.pdf"
"41","Position-zu-ANP-in-Deutschland-2011-07-05.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-zu-ANP-in-Deutschland-2011-07-05.pdf"
"42","Position-zu-aktiver-Sterbehilfe-2012-09-22.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Position-zu-aktiver-Sterbehilfe-2012-09-22.pdf"
"43","Positionspapier-Anwerbung-von-Pflegefachpersonen-aus-dem-Ausland.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-Anwerbung-von-Pflegefachpersonen-aus-dem-Ausland.pdf"
"44","Positionspapier-DBfK_Aufgabe-der-Pflege-Gesundheitskompetenz-staerken_2020-04.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-DBfK_Aufgabe-der-Pflege-Gesundheitskompetenz-staerken_2020-04.pdf"
"45","Positionspapier-DBfK_Aufgabe-der-Pflege-Gesundheitskompetenz-staerken_2020-04_Literaturempfehlungen.pdf","Exclude","https://www.dbfk.de//media/docs/download/DBfK-Positionen/Positionspapier-DBfK_Aufgabe-der-Pflege-Gesundheitskompetenz-staerken_2020-04_Literaturempfehlungen.pdf"
